name,level,cycle_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,3.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,1,2.0,3
synth-n_100-m_1220-k_15-p_0.2.txt,2,1.6666666,6
synth-n_100-m_1220-k_15-p_0.2.txt,3,1.6,10
synth-n_100-m_1220-k_15-p_0.2.txt,4,1.5,16
synth-n_100-m_1220-k_15-p_0.2.txt,5,1.5,24
synth-n_100-m_1220-k_15-p_0.2.txt,6,1.4444444,36
synth-n_100-m_1220-k_15-p_0.2.txt,7,1.4615384,52
synth-n_100-m_1220-k_15-p_0.2.txt,8,1.4473684,76
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,2.0,3
synth-n_100-m_1235-k_20-p_0.2.txt,2,1.6666666,6
synth-n_100-m_1235-k_20-p_0.2.txt,3,1.6,10
synth-n_100-m_1235-k_20-p_0.2.txt,4,1.5,16
synth-n_100-m_1235-k_20-p_0.2.txt,5,1.4583334,24
synth-n_100-m_1235-k_20-p_0.2.txt,6,1.4571428,35
synth-n_100-m_1235-k_20-p_0.2.txt,7,1.4313725,51
synth-n_100-m_1235-k_20-p_0.2.txt,8,1.4657534,73
synth-n_100-m_1235-k_20-p_0.2.txt,9,1.4953271,107
synth-n_100-m_1235-k_20-p_0.2.txt,10,1.4375,160
synth-n_100-m_1235-k_20-p_0.2.txt,11,1.4391304,230
synth-n_100-m_1235-k_20-p_0.2.txt,12,1.4229608,331
synth-n_100-m_1235-k_20-p_0.2.txt,13,1.4670913,471
synth-n_100-m_1235-k_20-p_0.2.txt,14,1.4515195,691
synth-n_100-m_1235-k_20-p_0.2.txt,15,1.451645,1003
synth-n_100-m_1235-k_20-p_0.2.txt,16,1.4519231,1456
synth-n_100-m_1235-k_20-p_0.2.txt,17,1.4531693,2114
synth-n_100-m_1231-k_25-p_0.2.txt,0,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,1.5,2
synth-n_100-m_1231-k_25-p_0.2.txt,2,2.3333333,3
synth-n_100-m_1231-k_25-p_0.2.txt,3,1.8571428,7
synth-n_100-m_1231-k_25-p_0.2.txt,4,1.5384616,13
synth-n_100-m_1231-k_25-p_0.2.txt,5,1.45,20
synth-n_100-m_1231-k_25-p_0.2.txt,6,1.4137931,29
synth-n_100-m_1231-k_25-p_0.2.txt,7,1.3902439,41
synth-n_100-m_1231-k_25-p_0.2.txt,8,1.4210526,57
synth-n_100-m_1231-k_25-p_0.2.txt,9,1.3950617,81
synth-n_100-m_1231-k_25-p_0.2.txt,10,1.4690266,113
synth-n_100-m_1231-k_25-p_0.2.txt,11,1.439759,166
synth-n_100-m_1231-k_25-p_0.2.txt,12,1.4309623,239
synth-n_100-m_1231-k_25-p_0.2.txt,13,1.4269006,342
synth-n_100-m_1231-k_25-p_0.2.txt,14,1.420082,488
synth-n_100-m_1231-k_25-p_0.2.txt,15,1.4213564,693
synth-n_100-m_1231-k_25-p_0.2.txt,16,1.448731,985
synth-n_100-m_1231-k_25-p_0.2.txt,17,1.4505956,1427
synth-n_100-m_1231-k_25-p_0.2.txt,18,1.4497584,2070
synth-n_100-m_1231-k_25-p_0.2.txt,19,1.4391869,3001
synth-n_100-m_1231-k_25-p_0.2.txt,20,1.4424635,4319
synth-n_100-m_1231-k_25-p_0.2.txt,21,1.4536116,6230
synth-n_100-m_1231-k_25-p_0.2.txt,22,1.4525176,9056
synth-n_100-m_1231-k_25-p_0.2.txt,23,1.4623688,13154
