name,level,cycle_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,3.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,1,2.0,3
synth-n_100-m_1220-k_15-p_0.2.txt,2,2.0,4
synth-n_100-m_1220-k_15-p_0.2.txt,3,2.0,5
synth-n_100-m_1220-k_15-p_0.2.txt,4,2.0,6
synth-n_100-m_1220-k_15-p_0.2.txt,5,2.0,7
synth-n_100-m_1220-k_15-p_0.2.txt,6,2.0,5
synth-n_100-m_1220-k_15-p_0.2.txt,7,2.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,8,2.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,2.0,3
synth-n_100-m_1235-k_20-p_0.2.txt,2,2.1666667,6
synth-n_100-m_1235-k_20-p_0.2.txt,3,2.0,13
synth-n_100-m_1235-k_20-p_0.2.txt,4,2.0,25
synth-n_100-m_1235-k_20-p_0.2.txt,5,2.0232558,43
synth-n_100-m_1235-k_20-p_0.2.txt,6,2.016129,62
synth-n_100-m_1235-k_20-p_0.2.txt,7,2.0105264,95
synth-n_100-m_1235-k_20-p_0.2.txt,8,2.0075758,132
synth-n_100-m_1235-k_20-p_0.2.txt,9,2.0,165
synth-n_100-m_1235-k_20-p_0.2.txt,10,2.0,185
synth-n_100-m_1235-k_20-p_0.2.txt,11,2.0,190
synth-n_100-m_1235-k_20-p_0.2.txt,12,2.0,200
synth-n_100-m_1235-k_20-p_0.2.txt,13,2.005747,174
synth-n_100-m_1235-k_20-p_0.2.txt,14,2.0068965,145
synth-n_100-m_1235-k_20-p_0.2.txt,15,2.01,100
synth-n_100-m_1235-k_20-p_0.2.txt,16,2.0370371,54
synth-n_100-m_1235-k_20-p_0.2.txt,17,2.0,21
synth-n_100-m_1231-k_25-p_0.2.txt,0,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,2.0,2
synth-n_100-m_1231-k_25-p_0.2.txt,2,2.0,4
synth-n_100-m_1231-k_25-p_0.2.txt,3,2.0,8
synth-n_100-m_1231-k_25-p_0.2.txt,4,2.0625,16
synth-n_100-m_1231-k_25-p_0.2.txt,5,2.0,33
synth-n_100-m_1231-k_25-p_0.2.txt,6,2.0169492,59
synth-n_100-m_1231-k_25-p_0.2.txt,7,2.0,104
synth-n_100-m_1231-k_25-p_0.2.txt,8,2.006329,158
synth-n_100-m_1231-k_25-p_0.2.txt,9,2.0,223
synth-n_100-m_1231-k_25-p_0.2.txt,10,2.0034363,291
synth-n_100-m_1231-k_25-p_0.2.txt,11,2.0027473,364
synth-n_100-m_1231-k_25-p_0.2.txt,12,2.0,450
synth-n_100-m_1231-k_25-p_0.2.txt,13,2.0,542
synth-n_100-m_1231-k_25-p_0.2.txt,14,2.0015924,628
synth-n_100-m_1231-k_25-p_0.2.txt,15,2.0029368,681
synth-n_100-m_1231-k_25-p_0.2.txt,16,2.0041552,722
synth-n_100-m_1231-k_25-p_0.2.txt,17,2.0042434,707
synth-n_100-m_1231-k_25-p_0.2.txt,18,2.0073965,676
synth-n_100-m_1231-k_25-p_0.2.txt,19,2.0152028,592
synth-n_100-m_1231-k_25-p_0.2.txt,20,2.0209644,477
synth-n_100-m_1231-k_25-p_0.2.txt,21,2.0371518,323
synth-n_100-m_1231-k_25-p_0.2.txt,22,2.0670104,194
