name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_100-m_670-k_30-p_0.1.txt,100,670,29,0,0,false,7,0,4257155,180000
synth-n_140-m_632-k_30-p_0.05.txt,140,632,26,26,1,true,36,0,1335569,40886
synth-n_180-m_4031-k_30-p_0.2.txt,180,4031,30,30,0,true,0,2,8740,7669
synth-n_200-m_2488-k_30-p_0.1.txt,200,2488,30,30,0,true,7,0,336938,68775
synth-n_200-m_4765-k_30-p_0.2.txt,200,4765,30,30,0,true,0,7,2018,3858
synth-n_250-m_3612-k_25-p_0.1.txt,250,3612,25,25,0,true,5,2,21177,10605
synth-n_250-m_3681-k_30-p_0.1.txt,250,3681,30,30,0,true,8,0,104226,38914
synth-n_275-m_2220-k_30-p_0.05.txt,275,2220,30,30,0,true,30,0,708694,126411
synth-n_275-m_4371-k_30-p_0.1.txt,275,4371,30,30,0,true,5,0,90393,45056
synth-n_275-m_8453-k_25-p_0.2.txt,275,8453,25,25,0,true,0,24,2,5485
synth-n_300-m_5197-k_30-p_0.1.txt,300,5197,30,30,0,true,7,1,13451,12548
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,0,true,1,25,1,7285
synth-n_80-m_483-k_30-p_0.1.txt,80,483,25,0,0,false,3,0,6686577,180000
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,0,true,2,0,109018,17092
biology-n_56-m_1372-p_0.75-4,56,1372,38,38,0,true,2,0,175625,11620
biology-n_77-m_1411-p_0.5-5,77,1411,47,47,0,true,11,0,105295,14175
biology-n_81-m_1292-p_0.75-3,81,1292,44,44,2,true,13,2,124132,7224
blogs-n_1000,978,13257,198,87,87,false,710,0,818002,180000
email,167,5783,93,93,1,true,44,4,16730,71445
usairport-n_1000,884,10343,251,251,156,true,717,1,237975,11134
