name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
advotogo-n_100,16,12,3,3,3,true,16,0,0,26,0
advotogo-n_1000,578,1500,112,112,105,true,567,0,0,2,0
advotogo-n_200,54,52,5,5,5,true,54,0,0,1,0
advotogo-n_300,113,150,15,15,15,true,113,0,0,0,0
advotogo-n_400,158,235,22,22,22,true,158,0,0,1,0
advotogo-n_500,271,628,36,36,36,true,271,0,0,1,0
advotogo-n_700,402,942,64,64,61,true,397,0,0,4,0
advotogo-n_800,458,1211,79,79,79,true,458,0,0,2,0
baydry,128,2137,7,7,7,true,128,0,0,2,0
baywet,128,2106,7,7,7,true,128,0,0,2,0
biology-n_12-m_33-p_0.5-15,12,33,3,3,0,true,2,0,0,5,0
biology-n_12-m_33-p_0.75-15,12,33,3,3,0,true,6,0,0,5,0
biology-n_12-m_33-p_0.9-15,12,33,3,3,3,true,12,0,0,1,0
biology-n_12-m_43-p_0.5-25,12,43,4,4,0,true,2,0,0,7,0
biology-n_12-m_43-p_0.75-25,12,43,3,3,3,true,12,0,0,1,0
biology-n_12-m_43-p_0.9-25,12,43,1,1,1,true,12,0,0,0,0
biology-n_12-m_45-p_0.5-19,12,45,3,3,0,true,3,0,0,6,0
biology-n_12-m_45-p_0.75-19,12,45,3,3,0,true,3,0,0,6,0
biology-n_12-m_45-p_0.9-19,12,45,1,1,1,true,12,0,0,1,0
biology-n_13-m_39-p_0.5-4,13,39,2,2,0,true,5,0,0,3,0
biology-n_13-m_39-p_0.75-4,13,39,3,3,3,true,13,0,0,1,0
biology-n_13-m_39-p_0.9-4,13,39,4,4,4,true,13,0,0,1,0
biology-n_13-m_51-p_0.5-22,13,51,4,4,0,true,4,0,0,5,0
biology-n_13-m_51-p_0.75-22,13,51,3,3,0,true,5,0,0,4,0
biology-n_13-m_51-p_0.9-22,13,51,3,3,3,true,13,0,0,1,0
biology-n_16-m_79-p_0.5-3,16,79,6,6,0,true,3,0,0,9,0
biology-n_16-m_79-p_0.75-3,16,79,6,6,0,true,1,0,0,12,0
biology-n_16-m_79-p_0.9-3,16,79,4,4,0,true,6,0,0,5,0
biology-n_17-m_89-p_0.5-10,17,89,6,6,0,true,2,0,0,11,0
biology-n_17-m_89-p_0.75-10,17,89,6,6,0,true,2,0,0,12,0
biology-n_17-m_89-p_0.9-10,17,89,4,4,0,true,5,0,0,4,0
biology-n_19-m_99-p_0.5-20,19,99,7,7,0,true,2,0,0,19,0
biology-n_19-m_99-p_0.75-20,19,99,6,6,0,true,6,0,0,10,0
biology-n_19-m_99-p_0.9-20,19,99,3,3,3,true,19,0,0,0,0
biology-n_20-m_125-p_0.5-24,20,125,8,8,0,true,2,0,0,29,0
biology-n_20-m_125-p_0.5-7,20,125,9,9,0,true,1,0,0,40,0
biology-n_20-m_125-p_0.75-24,20,125,9,9,0,true,2,0,0,33,0
biology-n_20-m_125-p_0.75-7,20,125,5,5,0,true,3,0,0,9,0
biology-n_20-m_125-p_0.9-24,20,125,3,3,0,true,4,0,0,6,0
biology-n_20-m_125-p_0.9-7,20,125,4,4,1,true,7,0,0,6,0
biology-n_22-m_76-p_0.5-9,22,76,4,4,0,true,13,0,0,5,0
biology-n_22-m_76-p_0.75-9,22,76,4,4,0,true,11,0,0,4,0
biology-n_22-m_76-p_0.9-9,22,76,3,3,0,true,14,0,0,3,0
biology-n_23-m_166-p_0.5-17,23,166,12,12,0,true,0,0,0,70,0
biology-n_23-m_166-p_0.75-17,23,166,10,10,0,true,2,0,0,41,0
biology-n_23-m_166-p_0.9-17,23,166,6,6,1,true,8,0,0,9,0
biology-n_25-m_231-p_0.5-6,25,231,13,13,0,true,1,0,0,120,0
biology-n_25-m_231-p_0.75-6,25,231,13,13,0,true,1,0,0,70,0
biology-n_25-m_231-p_0.9-6,25,231,8,8,0,true,4,0,0,34,0
biology-n_28-m_163-p_0.5-11,28,163,10,10,1,true,8,0,0,31,0
biology-n_28-m_163-p_0.75-11,28,163,8,8,1,true,10,0,0,14,0
biology-n_28-m_163-p_0.9-11,28,163,5,5,1,true,14,0,0,6,0
biology-n_28-m_249-p_0.5-8,28,249,15,15,0,true,0,0,0,155,0
biology-n_28-m_249-p_0.75-8,28,249,13,13,0,true,0,0,0,92,0
biology-n_28-m_249-p_0.9-8,28,249,6,6,1,true,9,0,0,8,0
biology-n_29-m_153-p_0.5-21,29,153,11,11,1,true,7,0,0,38,0
biology-n_29-m_153-p_0.75-21,29,153,11,11,0,true,3,0,0,44,0
biology-n_29-m_153-p_0.9-21,29,153,5,5,1,true,14,0,0,4,0
biology-n_30-m_287-p_0.5-5,30,287,15,15,0,true,3,0,0,146,0
biology-n_30-m_287-p_0.75-5,30,287,12,12,0,true,3,0,0,111,0
biology-n_30-m_287-p_0.9-5,30,287,10,10,0,true,4,0,0,94,0
biology-n_35-m_315-p_0.5-18,35,315,17,17,1,true,7,0,0,195,0
biology-n_35-m_315-p_0.75-18,35,315,15,15,0,true,7,0,0,201,0
biology-n_35-m_315-p_0.9-18,35,315,10,10,0,true,7,0,0,67,0
biology-n_36-m_219-p_0.5-12,36,219,17,17,0,true,1,0,0,9,0
biology-n_36-m_219-p_0.75-12,36,219,14,14,0,true,1,0,0,7,0
biology-n_36-m_219-p_0.9-12,36,219,9,9,2,true,14,0,0,6,0
biology-n_42-m_297-p_0.5-23,42,297,21,21,1,true,4,0,0,488,0
biology-n_42-m_297-p_0.75-23,42,297,19,19,0,true,2,0,0,183,0
biology-n_42-m_297-p_0.9-23,42,297,13,13,2,true,14,0,0,62,0
biology-n_45-m_326-p_0.5-16,45,326,21,21,0,true,1,0,0,24,0
biology-n_45-m_326-p_0.75-16,45,326,18,18,0,true,5,0,0,7,0
biology-n_45-m_326-p_0.9-16,45,326,14,14,0,true,6,0,0,23,0
biology-n_49-m_689-p_0.5-14,49,689,29,29,2,true,11,0,0,1365,0
biology-n_49-m_689-p_0.75-14,49,689,26,26,2,true,11,0,0,1132,0
biology-n_49-m_689-p_0.9-14,49,689,19,19,0,true,12,0,0,375,0
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,0,true,2,0,0,17275,0
biology-n_56-m_1372-p_0.75-4,56,1372,38,38,0,true,2,0,0,9804,0
biology-n_56-m_1372-p_0.9-4,56,1372,29,29,0,true,2,0,0,2973,0
biology-n_56-m_526-p_0.5-2,56,526,29,29,1,true,8,0,0,1012,0
biology-n_56-m_526-p_0.75-2,56,526,24,24,0,true,6,0,0,490,0
biology-n_56-m_526-p_0.9-2,56,526,17,17,3,true,22,0,0,64,0
biology-n_59-m_624-p_0.5-1,59,624,30,30,0,true,8,0,0,22,0
biology-n_59-m_624-p_0.75-1,59,624,26,26,1,true,13,0,0,5,0
biology-n_59-m_624-p_0.9-1,59,624,22,22,3,true,18,0,0,3,0
biology-n_77-m_1411-p_0.5-5,77,1411,47,47,0,true,11,0,0,11,0
biology-n_77-m_1411-p_0.75-5,77,1411,42,42,0,true,12,0,0,11,0
biology-n_77-m_1411-p_0.9-5,77,1411,34,34,3,true,24,0,0,4189,0
