name,k_optimal,k_solved,millis,verified
synth-n_10-m_12-k_2-p_0.2.txt,0,0,30,true
synth-n_10-m_12-k_4-p_0.2.txt,1,1,6,true
synth-n_10-m_2-k_2-p_0.05.txt,0,0,0,true
synth-n_10-m_2-k_4-p_0.05.txt,0,0,1,true
synth-n_10-m_5-k_2-p_0.1.txt,0,0,0,true
synth-n_10-m_5-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_10-k_2-p_0.05.txt,0,0,2,true
synth-n_20-m_11-k_6-p_0.05.txt,0,0,1,true
synth-n_20-m_18-k_4-p_0.05.txt,1,1,2,true
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_25-k_2-p_0.1.txt,1,1,2,true
synth-n_20-m_25-k_8-p_0.1.txt,2,2,1,true
synth-n_20-m_38-k_6-p_0.1.txt,2,2,2,true
synth-n_20-m_48-k_2-p_0.2.txt,2,2,3,true
synth-n_20-m_54-k_8-p_0.2.txt,3,3,2,true
synth-n_20-m_58-k_4-p_0.2.txt,4,4,4,true
synth-n_20-m_59-k_6-p_0.2.txt,3,3,1,true
synth-n_20-m_9-k_8-p_0.05.txt,0,0,1,true
synth-n_30-m_111-k_8-p_0.2.txt,7,7,29,true
synth-n_30-m_114-k_6-p_0.2.txt,5,5,4,true
synth-n_30-m_117-k_10-p_0.2.txt,7,7,28,true
synth-n_30-m_25-k_2-p_0.05.txt,0,0,0,true
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true
synth-n_30-m_28-k_8-p_0.05.txt,1,1,0,true
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true
synth-n_30-m_58-k_6-p_0.1.txt,2,2,2,true
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true
synth-n_30-m_64-k_8-p_0.1.txt,3,3,1,true
synth-n_30-m_73-k_10-p_0.1.txt,4,4,2,true
synth-n_30-m_97-k_2-p_0.2.txt,2,2,0,true
synth-n_30-m_99-k_4-p_0.2.txt,3,3,1,true
synth-n_40-m_112-k_8-p_0.1.txt,6,6,5,true
synth-n_40-m_114-k_10-p_0.1.txt,6,6,7,true
synth-n_40-m_114-k_15-p_0.1.txt,6,6,6,true
synth-n_40-m_176-k_2-p_0.2.txt,2,2,1,true
synth-n_40-m_185-k_4-p_0.2.txt,4,4,2,true
synth-n_40-m_192-k_10-p_0.2.txt,10,10,302,true
synth-n_40-m_192-k_15-p_0.2.txt,13,13,2476,true
synth-n_40-m_194-k_6-p_0.2.txt,5,5,1,true
synth-n_40-m_203-k_8-p_0.2.txt,7,7,14,true
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true
synth-n_40-m_50-k_4-p_0.05.txt,1,1,0,true
synth-n_40-m_58-k_15-p_0.05.txt,1,1,0,true
synth-n_40-m_61-k_8-p_0.05.txt,1,1,0,true
synth-n_40-m_62-k_10-p_0.05.txt,3,3,0,true
synth-n_40-m_88-k_4-p_0.1.txt,3,3,1,true
synth-n_40-m_92-k_2-p_0.1.txt,2,2,0,true
synth-n_40-m_95-k_6-p_0.1.txt,4,4,2,true
synth-n_50-m_139-k_2-p_0.1.txt,2,2,0,true
synth-n_50-m_139-k_4-p_0.1.txt,2,2,0,true
synth-n_50-m_154-k_8-p_0.1.txt,6,6,11,true
synth-n_50-m_159-k_10-p_0.1.txt,8,8,100,true
synth-n_50-m_169-k_6-p_0.1.txt,6,6,1,true
synth-n_50-m_192-k_20-p_0.1.txt,11,11,1446,true
synth-n_50-m_195-k_15-p_0.1.txt,8,8,81,true
synth-n_50-m_275-k_2-p_0.2.txt,2,2,1,true
synth-n_50-m_278-k_4-p_0.2.txt,4,4,1,true
synth-n_50-m_302-k_6-p_0.2.txt,6,6,4,true
synth-n_50-m_320-k_15-p_0.2.txt,14,14,6680,true
synth-n_50-m_327-k_10-p_0.2.txt,10,10,309,true
synth-n_50-m_334-k_8-p_0.2.txt,8,8,23,true
synth-n_50-m_357-k_20-p_0.2.txt,20,0,180000,false
synth-n_50-m_66-k_2-p_0.05.txt,1,1,0,true
synth-n_50-m_70-k_4-p_0.05.txt,0,0,0,true
synth-n_50-m_71-k_8-p_0.05.txt,2,2,0,true
synth-n_50-m_81-k_10-p_0.05.txt,3,3,0,true
synth-n_50-m_90-k_20-p_0.05.txt,2,2,0,true
synth-n_50-m_91-k_6-p_0.05.txt,1,1,0,true
synth-n_50-m_97-k_15-p_0.05.txt,4,4,2,true
biology-n_12-m_33-p_0.5-15,3,3,0,true
biology-n_12-m_33-p_0.75-15,3,3,0,true
biology-n_12-m_33-p_0.9-15,3,3,0,true
biology-n_12-m_43-p_0.5-25,4,4,0,true
